First Name,Middle Name,Last Name,Title,Suffix,Nickname,Given Yomi,Surname Yomi,E-mail Address,E-mail 2 Address,E-mail 3 Address,Home Phone,Home Phone 2,Business Phone,Business Phone 2,Mobile Phone,Car Phone,Other Phone,Primary Phone,Pager,Business Fax,Home Fax,Other Fax,Company Main Phone,Callback,Radio Phone,Telex,TTY/TDD Phone,IMAddress,Job Title,Department,Company,Office Location,Manager's Name,Assistant's Name,Assistant's Phone,Company Yomi,Business Street,Business City,Business State,Business Postal Code,Business Country/Region,Home Street,Home City,Home State,Home Postal Code,Home Country/Region,Other Street,Other City,Other State,Other Postal Code,Other Country/Region,Personal Web Page,Spouse,Schools,Hobby,Location,Web Page,Birthday,Anniversary,Notes
,,,,,,,,senatorsurovell@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Scott A. Surovell
District : 34
Phone : (804) 698-7534"
,,,,,,,,senatorsuetterlein@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : David R. Suetterlein
District : 4
Phone : (804) 698-7504"
,,,,,,,,senatorsturtevant@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Glen H. Sturtevant Jr.
District : 12
Phone : (804) 698-7512"
,,,,,,,,senatorstuart@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Richard H. Stuart
District : 25
Phone : (804) 698-7525"
,,,,,,,,senatorstanley@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : William M. Stanley Jr.
District : 7
Phone : (804) 698-7507"
,,,,,,,,senatorsrinivasan@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Kannan Srinivasan
District : 32
Phone : (804) 698-7532"
,,,,,,,,senatorsalim@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Saddam Azlan Salim
District : 37
Phone : (804) 698-7537"
,,,,,,,,senatorrouse@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Aaron R. Rouse
District : 22
Phone : (804) 698-7522"
,,,,,,,,senatorroem@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Danica A. Roem
District : 30
Phone : (804) 698-7530"
,,,,,,,,senatorreeves@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Bryce E. Reeves
District : 28
Phone : (804) 698-7528"
,,,,,,,,senatorpillion@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Todd E. Pillion
District : 6
Phone : (804) 698-7506"
,,,,,,,,senatorperry@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Russet W. Perry
District : 31
Phone : (804) 698-7531"
,,,,,,,,senatorpekarsky@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Stella G. Pekarsky
District : 36
Phone : (804) 698-7536"
,,,,,,,,senatorpeake@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Mark J. Peake
District : 8
Phone : (804) 698-7508"
,,,,,,,,senatorobenshain@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Mark D. Obenshain
District : 2
Phone : (804) 698-7502"
,,,,,,,,senatormulchi@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Tammy Brankley Mulchi
District : 9
Phone : (804) 698-7509"
,,,,,,,,senatormcpike@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jeremy S. McPike
District : 29
Phone : (804) 698-7529"
,,,,,,,,senatormcdougle@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Ryan T. McDougle
District : 26
Phone : (804) 698-7526"
,,,,,,,,senatormarsden@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : David W. Marsden
District : 35
Phone : (804) 698-7535"
,,,,,,,,senatorlucas@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : L. Louise Lucas
District : 18
Phone : (804) 698-7518"
,,,,,,,,senatorlocke@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Mamie E. Locke
District : 23
Phone : (804) 698-7523"
,,,,,,,,senatorjordan@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Emily M. Jordan
District : 17
Phone : (804) 698-7517"
,,,,,,,,senatorjones@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Michael J. Jones
District : 15
Phone : 804-698-7515"
,,,,,,,,senatorhead@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Christopher T. Head
District : 3
Phone : (804) 698-7503"
,,,,,,,,senatorhackworth@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : T. Travis Hackworth
District : 5
Phone : (804) 698-7505"
,,,,,,,,senatorfrench@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Timmy French
District : 1
Phone : (804) 698-7501"
,,,,,,,,senatorfavola@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Barbara A. Favola
District : 40
Phone : (804) 698-7540"
,,,,,,,,senatordurant@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Tara A. Durant
District : 27
Phone : (804) 698-7527"
,,,,,,,,senatordiggs@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Diggs
District : 24
Phone : (804) 698-7524"
,,,,,,,,senatordesteph@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Bill DeSteph
District : 20
Phone : (804) 698-7520"
,,,,,,,,senatordeeds@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : R. Creigh Deeds
District : 11
Phone : (804) 698-7511"
,,,,,,,,senatorcraig@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Christie New Craig
District : 19
Phone : (804) 698-7519"
,,,,,,,,senatorcifers@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Luther H. Cifers III
District : 10
Phone : (804) 698-7510"
,,,,,,,,senatorcarrollfoy@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jennifer D. Carroll Foy
District : 33
Phone : (804) 698-7533"
,,,,,,,,senatorboysko@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jennifer B. Boysko
District : 38
Phone : (804) 698-7538"
,,,,,,,,senatorbennett-parker@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Elizabeth B. Bennett-Parker
District : 39
Phone : (804) 698-7539"
,,,,,,,,senatorbagby@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Lamont Bagby
District : 14
Phone : (804) 698-7514"
,,,,,,,,senatoraird@senate.virginia.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Lashrecse D. Aird
District : 13
Phone : (804) 698-7513"
,,,,,,,,zellner@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jeremy Zellner
District : 61
Phone : 518-455-3240"
,,,,,,,,walczyk@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Mark Walczyk
District : 49
Phone : 518-455-2346"
,,,,,,,,weik@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Alexis Weik
District : 8
Phone : 518-455-2765"
,,,,,,,,webb@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Lea Webb
District : 52
Phone : 518-455-2140"
,,,,,,,,thomas@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Kevin Thomas
District : 6
Phone : 518-455-3261"
,,,,,,,,stec@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Daniel G. Stec
District : 45
Phone : 518-455-2811"
,,,,,,,,scousins@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Andrea Stewart-Cousins
District : 35
Phone : 518-455-2585"
,,,,,,,,stavisky@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Toby Ann Stavisky
District : 11
Phone : 518-455-3461"
,,,,,,,,skoufis@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : James Skoufis
District : 42
Phone : 518-455-3290"
,,,,,,,,serrano@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : José M. Serrano
District : 29
Phone : 518-455-2795"
,,,,,,,,sepulveda@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Luis R. Sepulveda
District : 32
Phone : 518-455-2510"
,,,,,,,,sanders@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : James Sanders Jr.
District : 10
Phone : 518-455-3531"
,,,,,,,,salazar@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Julia Salazar
District : 18
Phone : 518-455-2177"
,,,,,,,,ryan@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Sean M. Ryan
District : 61
Phone : 518-455-3240"
,,,,,,,,grivera@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Gustavo Rivera
District : 33
Phone : 518-455-3300"
,,,,,,,,rhoads@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Steven D. Rhoads
District : 5
Phone : 518-455-3341"
,,,,,,,,palumbo@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Anthony H. Palumbo
District : 1
Phone : 518-455-3121"
,,,,,,,,ortt@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Robert G. Ortt
District : 62
Phone : 518-455-2024"
,,,,,,,,omara@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Thomas F. O'Mara
District : 58
Phone : 518-455-2091"
,,,,,,,,myrie@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Zellnor Y. Myrie
District : 20
Phone : 518-455-2410"
,,,,,,,,murray@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Dean Murray
District : 3
Phone : 518-455-3411"
,,,,,,,,smayer@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Shelley B. Mayer
District : 37
Phone : 518-455-2031"
,,,,,,,,may@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Rachel May
District : 48
Phone : 518-455-2838"
,,,,,,,,mattera@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Mario R. Mattera
District : 2
Phone : 518-455-2071"
,,,,,,,,martins@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jack M. Martins
District : 7
Phone : 518-455-2677"
,,,,,,,,martinez@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Monica R. Martinez
District : 4
Phone : 518-455-2950"
,,,,,,,,liu@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : John C. Liu
District : 16
Phone : 518-455-2210"
,,,,,,,,lanza@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Andrew J. Lanza
District : 24
Phone : 518-455-3215"
,,,,,,,,lkrueger@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Liz Krueger
District : 28
Phone : 518-455-2297"
,,,,,,,,kavanagh@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Brian Kavanagh
District : 27
Phone : 518-455-2625"
,,,,,,,,jackson@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Robert Jackson
District : 31
Phone : 518-455-2041"
,,,,,,,,hoylman@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Brad Hoylman-Sigal
District : 47
Phone : 518-455-2451"
,,,,,,,,hinchey@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Michelle Hinchey
District : 41
Phone : 518-455-2350"
,,,,,,,,helming@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Pamela Helming
District : 54
Phone : 518-455-2366"
,,,,,,,,harckham@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Pete Harckham
District : 40
Phone : 518-455-2340"
,,,,,,,,griffo@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Joseph A. Griffo
District : 53
Phone : 518-455-3334"
,,,,,,,,gounardes@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Andrew Gounardes
District : 26
Phone : 518-455-2529"
,,,,,,,,gonzalez@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Kristen Gonzalez
District : 59
Phone : 518-455-2961"
,,,,,,,,gianaris@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Michael Gianaris
District : 12
Phone : 518-455-3486"
,,,,,,,,gallivan@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Patrick M. Gallivan
District : 60
Phone : 518-455-3471"
,,,,,,,,fernandez@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Nathalia Fernandez
District : 34
Phone : 518-455-3595"
,,,,,,,,fahy@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Patricia A. Fahy
District : 46
Phone : 518-455-3251"
,,,,,,,,cooney@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jeremy A. Cooney
District : 56
Phone : 518-455-2909"
,,,,,,,,comrie@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Leroy Comrie
District : 14
Phone : 518-455-2701"
,,,,,,,,cleare@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Cordell Cleare
District : 30
Phone : 518-455-2441"
,,,,,,,,chan@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Steven T. Chan
District : 17
Phone : 518-455-2430"
,,,,,,,,canzoneri@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Patricia M. Canzoneri-Fitzpatrick
District : 9
Phone : 518-455-3395"
,,,,,,,,bynoe@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Siela A. Bynoe
District : 6
Phone : 518-455-2171"
,,,,,,,,brouk@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Samra G. Brouk
District : 55
Phone : 518-455-2215"
,,,,,,,,brisport@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jabari Brisport
District : 25
Phone : 518-455-3451"
,,,,,,,,borrello@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : George M. Borrello
District : 57
Phone : 518-455-3563"
,,,,,,,,baskin@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : April N.M. Baskin
District : 63
Phone : 518-455-2426"
,,,,,,,,bailey@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jamaal T. Bailey
District : 36
Phone : 518-455-2061"
,,,,,,,,ashby@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jacob C. Ashby
District : 43
Phone : 518-455-2381"
,,,,,,,,addabbo@nysenate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Joseph P. Addabbo Jr.
District : 15
Phone : 518-455-2322"
,,,,,,,,sheriff@wcso.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Washington
Sheriff : Kevin Crews
Phone : 850/638-6111"
,,,,,,,,madkinson@waltonso.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Walton
Sheriff : Michael Adkinson
Phone : 850/892-8111"
,,,,,,,,jmiller@wcso.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Wakulla
Sheriff : Jared Miller
Phone : 850/745-7100"
,,,,,,,,mchitwood@vcso.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Volusia
Sheriff : Michael Chitwood
Phone : 386/248-1777"
,,,,,,,,bwhitehead@unionsheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Union
Sheriff : Brad Whitehead
Phone : 386/496-2501"
,,,,,,,,wpadgett@taylorsheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Taylor
Sheriff : Wayne Padgett
Phone : 850/584-4225"
,,,,,,,,sheriff@suwanneesheriff.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Suwannee
Sheriff : Sam St. John
Phone : 386/362-2222"
,,,,,,,,pbreeden@sumtercountysheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Sumter
Sheriff : Patrick Breeden
Phone : 352/569-1600"
,,,,,,,,deltoror@stluciesheriff.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : St. Lucie
Sheriff : Richard DelToro
Phone : 772/462-7300"
,,,,,,,,rhardwick@sjso.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : St. Johns
Sheriff : Robert Hardwick
Phone : 904/824-8304"
,,,,,,,,dlemma@seminolesheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Seminole
Sheriff : Dennis Lemma
Phone : 407/665-6600"
,,,,,,,,khoffman@sarasotasheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Sarasota
Sheriff : Kurt Hoffman
Phone : 941/861-5800"
,,,,,,,,bob.johnson@srso.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Santa Rosa
Sheriff : Bob Johnson
Phone : 850/983-1100"
,,,,,,,,hdeloach@putnamsheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Putnam
Sheriff : H.D. DeLoach
Phone : 386/329-0800"
,,,,,,,,gradyjudd@polksheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Polk
Sheriff : Grady Judd
Phone : 863/298-6200"
,,,,,,,,rgualtieri@pcsonet.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Pinellas
Sheriff : Bob Gualtieri
Phone : 727-582-6200"
,,,,,,,,cnocco@pascosheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Pasco
Sheriff : Chris Nocco
Phone : 727-847-5878"
,,,,,,,,sheriff@pbso.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Palm Beach
Sheriff : Ric Bradshaw
Phone : 561/688-3000"
,,,,,,,,marcos.lopez@osceolasheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
County : Osceola
Sheriff : Marcos Lopez
Phone : 407/348-2222"
